server_generation,action_string,score,slots_size,score_per_slot
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.95-72",597565.2249505008,4,149391.3062376252
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.85-96",595649.038151227,4,148912.25953780676
CPU.S4,"CPU.S4|buy-dismiss|DC4,0.95-96",297230.4557813251,2,148615.22789066256
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.9-96",594399.2168660051,4,148599.80421650127
GPU.S2,"GPU.S2|buy-dismiss|DC1,1.0-72",593452.0306409659,4,148363.00766024148
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.95-84",590739.8039151088,4,147684.9509787772
CPU.S4,"CPU.S4|buy-dismiss|DC4,1.0-84",295265.485101887,2,147632.7425509435
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.9-84",589585.8352879977,4,147396.45882199943
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.8-72",587430.4280145974,4,146857.60700364935
GPU.S2,"GPU.S2|buy-dismiss|DC4,1.0-60",585115.0730302013,4,146278.7682575503
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.85-96",584695.746986766,4,146173.9367466915
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.9-96",580209.6144565758,4,145052.40361414396
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.95-48",579044.8405487479,4,144761.21013718698
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.95-72",578276.4249505007,4,144569.10623762518
GPU.S1,"GPU.S1|buy-dismiss|DC3,1.0-60",577384.348311601,4,144346.08707790024
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.75-84",575841.3725422197,4,143960.34313555493
GPU.S1,"GPU.S1|buy-dismiss|DC1,1.0-72",575016.0262636851,4,143754.00656592127
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.85-96",574414.146986766,4,143603.5367466915
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.8-72",567846.4280145974,4,141961.60700364935
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.85-72",564168.8297655096,4,141042.2074413774
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.85-60",564098.928086481,4,141024.73202162026
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.8-72",563238.4280145974,4,140809.60700364935
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.8-84",563158.7973783677,4,140789.69934459194
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.85-84",561314.4444377013,4,140328.6111094253
GPU.S2,"GPU.S2|buy-dismiss|DC2,1.0-60",561115.0730302013,4,140278.7682575503
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.75-84",560721.3725422197,4,140180.34313555493
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.9-72",560026.8275768693,4,140006.70689421732
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.95-48",559892.8405487479,4,139973.21013718698
GPU.S1,"GPU.S1|buy-dismiss|DC4,1.0-60",559384.348311601,4,139846.08707790024
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.95-48",549860.8405487479,4,137465.21013718698
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.75-84",549381.3725422197,4,137345.34313555493
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.85-60",542678.9280864812,4,135669.7320216203
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.85-60",541658.9280864812,4,135414.7320216203
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.9-72",540586.8275768693,4,135146.70689421732
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.85-84",539894.4444377013,4,134973.6111094253
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.85-84",539266.6666608867,4,134816.66666522168
